name,tags,rmp_info,take_again
"Davis, Stuart","['Clear grading criteria (4)', 'Lecture heavy (1)', 'Group projects (1)', 'Graded by few things (1)']",4.1,NA
"Burgun, Bruce","['Respected (1)', 'Gives good feedback (1)', 'Inspirational (1)']",4.8,NA
"Alexeev, Michael","['Respected (2)', 'Accessible outside class (1)', 'Amazing lectures (1)', 'Test heavy (1)', 'Inspirational (1)']",3.0,NA
"Butera, Gretchen","['Lots of homework (1)', 'Participation matters (1)']",2.8,NA
"Eno, Bob",[],4.9,NA
"Kaganovich, Michael","['Lots of homework (2)', 'Gives good feedback (1)', 'Amazing lectures (1)', 'Tough grader (1)', 'Inspirational (1)', 'Clear grading criteria (1)']",3.2,NA
,[],NA,NA
"Chang, Fwu-Ranq",[],3.9,NA
"Watt, Yasuko",[],4.7,NA
"Wilk, Rick",[],3.6,NA
"Zlotin, Roman","['Lecture heavy (2)', 'Respected (1)']",3.4,NA
"Finn, Julie",[],3.9,NA
,[],NA,NA
"Williamsen, Betsy",[],4.5,NA
"Stowe, Steven",[],3.3,NA
"Silay, Kemal","['Amazing lectures (2)', 'Lots of homework (1)', 'Gives good feedback (1)', 'Participation matters (1)', 'Caring (1)', 'Inspirational (1)', 'Respected (1)']",3.3,100%
"O'Donnell, Brian","['EXTRA CREDIT (4)', 'Tough grader (2)', 'Caring (2)', 'Gives good feedback (1)', 'Inspirational (1)', 'Participation matters (1)', 'Hilarious (1)']",3.9,NA
"Garraghty, Preston","['Lecture heavy (7)', 'Tough grader (6)', 'Clear grading criteria (5)', 'Amazing lectures (3)', 'Test heavy (3)', 'Hilarious (2)', 'Accessible outside class (2)', 'Respected (1)', 'Gives good feedback (1)', 'Get ready to read (1)', 'Graded by few things (1)', 'Caring (1)', 'Inspirational (1)']",3.3,78%
,[],NA,NA
"Lunts, Valery","['Amazing lectures (1)', 'Get ready to read (1)', 'Lots of homework (1)']",3.5,NA
